EquipmentID,EqName,PurchaseDate,ConditionStatus,ExerciseID
787,Smith machine,7/8/2024,Good,100
788,Medicine ball,7/26/2023,Fair,101
789,Dip station,3/21/2025,Out of order,102
790,Leg press machine,1/17/2024,Out of order,103
791,Leg curl machine,3/22/2024,New,104
792,Kettlebells,8/13/2024,Needs maintenance,105
793,Lat pulldown machine,11/6/2023,Needs maintenance,106
794,Chest press machine,11/8/2024,Out of order,107
795,Dumbbells,10/12/2024,New,108
796,Elliptical machine,8/31/2023,Needs maintenance,109
797,Cable crossover machine,1/6/2025,Fair,110
798,Squat rack,7/7/2024,Fair,111
799,Elliptical machine,10/17/2023,Good,112
800,Lat pulldown machine,1/17/2025,Needs maintenance,113
801,Pull-up bar,2/14/2024,New,114
802,Leg press machine,1/15/2025,Good,115
803,Plyo box,11/20/2024,Needs maintenance,116
804,Dip station,9/5/2023,Out of order,117
805,Dip station,9/20/2024,Fair,118
806,Power rack,11/27/2023,Good,119
807,Smith machine,6/5/2023,Fair,120
808,Pull-up bar,9/7/2023,Good,121
809,Battle ropes,12/9/2024,Out of order,122
810,Smith machine,6/19/2024,Fair,123
811,Medicine ball,6/18/2023,Good,124
812,Treadmill,6/6/2023,Fair,125
813,Lat pulldown machine,1/7/2025,New,126
814,Elliptical machine,4/13/2023,Good,127
815,Bench press,3/9/2025,Fair,128
816,Leg press machine,3/7/2024,New,129
817,Bench press,11/30/2023,Good,130
818,Battle ropes,5/20/2023,Out of order,131
819,Treadmill,1/25/2024,Good,132
820,Treadmill,5/11/2023,Fair,133
821,Chest press machine,6/6/2024,Good,134
822,Stationary bike,11/1/2023,Fair,135
823,Dip station,12/4/2023,Out of order,136
824,Rowing machine,10/23/2023,Needs maintenance,137
825,Medicine ball,7/2/2023,Good,138
826,Treadmill,6/30/2024,Good,139
827,Smith machine,6/19/2024,Fair,140
828,Smith machine,6/17/2024,Fair,141
829,Medicine ball,6/9/2023,Good,142
830,Treadmill,1/17/2025,Needs maintenance,143
831,Bench press,10/3/2023,Out of order,144
832,Barbells,4/25/2023,Fair,145
